item_id,name,name@Category.category_id,ui_order,avg_price,fdev_id
128924334,Agronomic Treatment,Chemicals,1,3069,128924334
128049204,Explosives,Chemicals,2,483,128049204
128049202,Hydrogen Fuel,Chemicals,3,119,128049202
128673850,Hydrogen Peroxide,Chemicals,4,3095,128673850
128673851,Liquid oxygen,Chemicals,5,1375,128673851
128049203,Mineral Oil,Chemicals,6,416,128049203
128672304,Nerve Agents,Chemicals,7,12954,128672304
128049205,Pesticides,Chemicals,8,412,128049205
128924333,Rockforth Fertiliser,Chemicals,9,9,128924333
128672305,Surface Stabilisers,Chemicals,10,668,128672305
128672303,Synthetic Reagents,Chemicals,11,6607,128672303
128961249,Tritium,Chemicals,12,51294,128961249
128049166,Water,Chemicals,13,260,128049166
128049241,Clothing,Consumer Items,1,523,128049241
128049240,Consumer Technology,Consumer Items,2,6334,128049240
128049238,Domestic Appliances,Consumer Items,3,719,128049238
128672314,Evacuation Shelter,Consumer Items,4,500,128672314
128682048,Survival Equipment,Consumer Items,5,666,128682048
128671444,Trinkets of Hidden Fortune,Consumer Items,6,3409,128671444
128049177,Algae,Foods,1,308,128049177
128049182,Animal Meat,Foods,2,1462,128049182
128049189,Coffee,Foods,3,1425,128049189
128049183,Fish,Foods,4,613,128049183
128049184,Food Cartridges,Foods,5,252,128049184
128049178,Fruit and Vegetables,Foods,6,483,128049178
128049180,Grain,Foods,7,387,128049180
128049185,Synthetic Meat,Foods,8,415,128049185
128049188,Tea,Foods,9,1603,128049188
128672302,Ceramic Composites,Industrial Materials,1,402,128672302
128673856,CMM Composite,Industrial Materials,2,5972,128673856
128673855,Insulating Membrane,Industrial Materials,3,10605,128673855
128672701,Meta-Alloys,Industrial Materials,4,194572,128672701
128673857,Micro-weave Cooling Hoses,Industrial Materials,5,1832,128673857
128673858,Neofabric Insulation,Industrial Materials,6,5046,128673858
128049197,Polymers,Industrial Materials,7,306,128049197
128049199,Semiconductors,Industrial Materials,8,1084,128049199
128049200,Superconductors,Industrial Materials,9,6551,128049200
128049214,Beer,Legal Drugs,1,350,128049214
128672306,Bootleg Liquor,Legal Drugs,2,765,128672306
128049216,Liquor,Legal Drugs,3,774,128049216
128049212,Narcotics,Legal Drugs,4,9519,128049212
128983059,Onionhead Gamma Strain,Legal Drugs,5,4286,128983059
128049213,Tobacco,Legal Drugs,6,4943,128049213
128049215,Wine,Legal Drugs,7,417,128049215
128673859,Articulation Motors,Machinery,1,7420,128673859
128064028,Atmospheric Processors,Machinery,2,536,128064028
128672309,Building Fabricators,Machinery,3,2224,128672309
128049222,Crop Harvesters,Machinery,4,2211,128049222
128673861,Emergency Power Cells,Machinery,5,2308,128673861
128673863,Energy Grid Assembly,Machinery,6,2598,128673863
128673866,Exhaust Manifold,Machinery,7,1821,128673866
128672307,Geological Equipment,Machinery,8,1830,128672307
128673868,Heatsink Interlink,Machinery,9,2048,128673868
128673860,HN Shock Mount,Machinery,10,1828,128673860
128673874,Ion Distributor,Machinery,11,2292,128673874
128673869,Magnetic Emitter Coil,Machinery,12,1319,128673869
128049223,Marine Equipment,Machinery,13,4084,128049223
128049220,Microbial Furnaces,Machinery,14,418,128049220
128049221,Mineral Extractors,Machinery,15,791,128049221
128673870,Modular Terminals,Machinery,16,2377,128673870
128673862,Power Converter,Machinery,17,1395,128673862
128049217,Power Generators,Machinery,18,2388,128049217
128673864,Power Transfer Bus,Machinery,19,2148,128673864
128673865,Radiation Baffle,Machinery,20,1713,128673865
128673867,Reinforced Mounting Plate,Machinery,21,2411,128673867
128672313,Skimmer Components,Machinery,22,1082,128672313
128672308,Thermal Cooling Units,Machinery,23,3700,128672308
128049218,Water Purifiers,Machinery,24,447,128049218
128682046,Advanced Medicines,Medicines,1,1351,128682046
128049208,Agri-Medicines,Medicines,2,1197,128049208
128049210,Basic Medicines,Medicines,3,489,128049210
128049670,Combat Stabilisers,Medicines,4,3392,128049670
128049209,Performance Enhancers,Medicines,5,6490,128049209
128049669,Progenitor Cells,Medicines,6,6451,128049669
128049176,Aluminium,Metals,1,2540,128049176
128049168,Beryllium,Metals,2,40192,128049168
128672300,Bismuth,Metals,3,2460,128672300
128049162,Cobalt,Metals,4,3546,128049162
128049175,Copper,Metals,5,631,128049175
128049170,Gallium,Metals,6,25117,128049170
128049154,Gold,Metals,7,47113,128049154
128668549,Hafnium 178,Metals,8,77637,128668549
128049169,Indium,Metals,9,23269,128049169
128672298,Lanthanum,Metals,10,8703,128672298
128049173,Lithium,Metals,11,1830,128049173
128671118,Osmium,Metals,12,44051,128671118
128049153,Palladium,Metals,13,50356,128049153
128049152,Platinum,Metals,14,55505,128049152
128673845,Praseodymium,Metals,15,8598,128673845
128673847,Samarium,Metals,16,25711,128673847
128049155,Silver,Metals,17,36553,128049155
129031238,Steel,Metals,18,4179,129031238
128049171,Tantalum,Metals,19,13735,128049171
128672299,Thallium,Metals,20,3747,128672299
128672301,Thorium,Metals,21,11307,128672301
128049174,Titanium,Metals,22,4446,128049174
128049172,Uranium,Metals,23,7138,128049172
128924331,Alexandrite,Minerals,1,205143,128924331
128049165,Bauxite,Minerals,2,1096,128049165
128924329,Benitoite,Minerals,3,139704,128924329
128049156,Bertrandite,Minerals,4,18210,128049156
128673846,Bromellite,Minerals,5,30500,128673846
