rare_id,station_id,name@Category.category_id,name,cost,max_allocation,illegal,suppressed
128667073,128045312,Chemicals,Delta Phoenicis Palms,392,17,N,N
128667682,3227036160,Chemicals,HIP Organophosphates,385,38,Y,N
128667684,3228726272,Chemicals,Koro Kung Pellets,591,30,N,N
128667690,3228762368,Chemicals,Medb Starlube,416,34,N,N
128667074,3230258688,Chemicals,Toxandji Virocide,749,42,N,N
128667036,3231373824,Consumer Items,Alacarakmo Skin Art,1848,30,N,N
128667700,128151032,Consumer Items,Altairian Skin,1575,95,N,N
128667673,3230243584,Consumer Items,Anduliga Fire Works,882,16,N,N
128748428,128745551,Consumer Items,Buckyball Beer Mats,68,20,N,N
128922524,3223453184,Consumer Items,Duradrives,16250,30,N,N
128667037,3230624768,Consumer Items,Eleu Thermals,1331,20,N,N
128667038,3222295552,Consumer Items,Eshu Umbrellas,2050,9,N,N
128667680,3221438976,Consumer Items,Havasupai Dream Catcher,9667,24,N,N
128668017,128667761,Consumer Items,Jaques Quinentian Still,8562,54,N,N
128667683,3230754816,Consumer Items,Jaradharre Puzzle Box,12648,16,N,N
128667039,3227333120,Consumer Items,Karetii Couture,5591,8,N,N
128667045,3227394304,Consumer Items,Kinago Violins,7643,11,N,N
128667717,128164088,Consumer Items,Leathery Eggs,23987,23,N,N
128667713,128075256,Consumer Items,Momus Bog Spaniel,2190,11,N,N
128667046,3221538304,Consumer Items,Nguna Modern Antiques,919,18,N,N
128667040,3222416896,Consumer Items,Njangari Saddles,650,13,N,N
128667668,3228939264,Consumer Items,Ophiuch Exino Artefacts,4915,42,N,N
128667047,3227512320,Consumer Items,Rajukru Multi-Stoves,682,32,N,N
128732551,128107768,Consumer Items,Shan's Charis Orchid,219,6,N,N
128668018,3225348096,Consumer Items,Soontill Relics,17000,80,N,N
128667706,128134648,Consumer Items,Tauri Chimes,1285,26,N,N
128672121,3228728832,Consumer Items,The Hutton Mug,3437,102,N,N
128667048,3224141312,Consumer Items,Tiolce Waste2Paste Units,1153,13,N,N
128671119,3227172352,Consumer Items,Ultra-Compact Processor Prototypes,19350,3,N,N
128667696,3226474496,Consumer Items,Uzumoku Low-G Wings,8435,14,N,N
128667719,3231082240,Consumer Items,Vidavantian Lace,7025,8,N,N
128667707,128125432,Consumer Items,Zeessze Ant Grub Glue,374,18,N,N
128667670,3222560256,Foods,Aepyornis Egg,2654,7,N,N
128667020,3222822912,Foods,Albino Quechua Mammoth Meat,2538,10,N,N
128667041,3229880064,Foods,Any Na Coffee,1790,11,N,N
128667705,128098040,Foods,Arouca Conventual Sweets,1735,27,N,N
128667716,128639992,Foods,Azure Milk,4536,21,N,N
128667669,3229378560,Foods,Baked Greebles,779,51,N,N
128667025,128088056,Foods,Baltah'sine Vacuum Krill,825,18,N,N
128667042,3228566016,Foods,CD-75 Kitten Brand Coffee,2729,18,N,N
128667078,3227417856,Foods,Ceremonial Heike Tea,2189,12,N,N
128667026,3222560000,Foods,Ceti Rabbits,1675,12,N,N
128667049,128128760,Foods,Chi Eridani Marine Paste,784,18,N,N
128667054,3223832576,Foods,Coquim Spongiform Victuals,255,20,N,N
128667058,3229713408,Foods,Deuringas Truffles,2384,11,N,N
128667714,128161016,Foods,Diso Ma Corn,638,45,N,N
128667055,128083448,Foods,Eden Apples of Aerial,1144,23,N,N
128667050,3226919680,Foods,Esuseku Caviar,2450,10,N,N
128667077,3229524992,Foods,Ethgreze Tea Buds,3261,7,N,N
128667709,128134392,Foods,Fujin Tea,1545,23,N,N
128667024,3225345792,Foods,Giant Irukama Snails,1810,16,N,N
128667043,3224449792,Foods,Goman Yaupon Coffee,1858,24,N,N
128667679,3226557696,Foods,Haiden Black Brew,1705,21,Y,N
128667019,3223234816,Foods,HIP 10175 Bush Meat,2105,13,N,N
128667053,3227995392,Foods,HIP Proto-Squid,1488,14,N,N
128667059,3226170880,Foods,HR 7221 Wheat,897,24,N,N
128667060,3224698112,Foods,Jaroua Rice,1105,27,N,N
128667023,3225028096,Foods,Karsuki Locusts,915,18,N,N
128667051,128042496,Foods,Live Hecate Sea Worms,1400,20,N,N
128667688,3224166400,Foods,LTT Hyper Sweet,575,29,N,N
128667689,3228398848,Foods,Mechucos High Tea,1345,16,N,N
128667691,3229612800,Foods,Mokojing Beast Feast,3084,11,N,N
128667692,3221719296,Foods,Mukusubii Chitin-os,1008,23,N,N
128667693,3228892672,Foods,Mulachi Giant Fungus,9,4,N,N
128667056,3228206080,Foods,Neritus Berries,1641,30,N,N
128667057,3226719232,Foods,Ochoeng Chillies,1468,21,N,N
128667711,128166392,Foods,Orrerian Vicious Brew,971,48,N,N
128667076,3230331136,Foods,Sanuma Decorative Meat,1413,77,N,N
128667079,128057866,Foods,Tanmark Tranquil Tea,1814,9,N,N
128667712,128164856,Foods,Uszaian Tree Grub,1248,21,N,N
128667021,128037120,Foods,Utgaroar Millennial Eggs,1436,12,N,N
128667685,3229028864,Foods,Void Extract Coffee,2749,27,N,N
128667698,3225032704,Foods,Wheemete Wheat Cakes,260,19,N,N
128667022,3223358720,Foods,Witchhaul Kobe Beef,4972,14,N,N
128958679,128958681,Legal Drugs,Apa Vietii,3495,11,N,N
128667065,128086776,Legal Drugs,Bast Snake Gin,1556,15,Y,N
128667681,3230224384,Legal Drugs,Burnham Bile Distillate,1161,24,N,Y
128667672,3228728832,Legal Drugs,Centauri Mega Gin,4047,42,Y,N
128667084,3228416768,Legal Drugs,Chateau De Aegaeon,1267,14,N,N
128727921,3228463360,Legal Drugs,Crom Silver Fesh,712,17,Y,N
128666746,128001536,Legal Drugs,Eranin Pearl Whisky,2310,24,Y,N
128667677,3230954752,Legal Drugs,Geawen Dance Dust,1022,30,Y,N
128667678,3228047360,Legal Drugs,Gerasian Gueuze Beer,788,60,Y,N
128793113,3221575424,Legal Drugs,Harma Silver Sea Rum,3111,60,N,N
128667704,128118520,Legal Drugs,Indi Bourbon,1649,24,Y,N
128667081,3225450752,Legal Drugs,Kamitra Cigars,6218,15,Y,N
128667034,3226978048,Legal Drugs,Kongga Ale,1089,24,Y,N
128666747,128106744,Legal Drugs,Lavian Brandy,3500,24,Y,N
128667715,128639992,Legal Drugs,Leestian Evil Juice,800,42,Y,N
128667760,128057866,Legal Drugs,Lucan Onionhead,815,8,Y,N
128667028,3226417152,Legal Drugs,Lyrae Weed,1475,10,Y,N
128667676,3229750528,Legal Drugs,Motrona Experience Jelly,7420,16,Y,Y
128667029,128129272,Legal Drugs,Onionhead,765,8,Y,N
128672812,3226977024,Legal Drugs,Onionhead Alpha Strain,765,10,Y,N
128673069,3223027200,Legal Drugs,Onionhead Beta Strain,765,10,Y,N
128667701,128117240,Legal Drugs,Pavonis Ear Grubs,804,45,Y,N
128667082,3229255680,Legal Drugs,Rusani Old Smokey,5810,10,Y,N
128667671,3227986432,Legal Drugs,Saxon Wine,1540,13,N,N
128667030,128041984,Legal Drugs,Tarach Spice,1231,16,Y,N
128667066,3226522368,Legal Drugs,Thrutis Cream,925,11,Y,N
128667031,128084984,Legal Drugs,Wolf Fesh,1120,8,Y,Y
128667035,3222155776,Legal Drugs,Wuthielo Ku Froth,908,26,Y,N
128667083,3223088640,Legal Drugs,Yaso Kondi Leaf,6060,6,Y,N
128667703,128121336,Machinery,Giant Verrix,6506,12,N,N
128667687,3224135424,Machinery,Non Euclidian Exotanks,892,16,N,N
128667044,3227831808,Machinery,Volkhab Bee Drones,3719,18,Y,N
128667067,3221388032,Machinery,Wulpa Hyperbore Systems,1692,15,N,N
128667068,128012800,Medicines,Aganippe Rush,9083,18,Y,Y
128667718,3221638400,Medicines,Alya Body Soap,454,16,N,N
128667686,3229561344,Medicines,Honesty Pills,1365,26,Y,N
128667027,3221595648,Medicines,Kachirigin Filter Leeches,467,10,N,N
128913661,3226651904,Medicines,Nanomedicines,2782,40,N,N
128667708,3228824064,Medicines,Pantaa Prayer Sticks,2357,54,N,N
128667069,128051466,Medicines,Terra Mater Blood Bores,7824,24,Y,N
128667085,128666762,Medicines,The Waters of Shintara,7421,12,N,N
128667697,3228959232,Medicines,V Herculis Body Rub,160,20,N,N
128667699,128149240,Medicines,Vega Slimweed,2398,28,N,N
128667675,3229594624,Metals,Cherbones Blood Crystals,12504,8,N,N
128667052,3231094528,Metals,Helvetitj Pearls,3818,9,N,N
128667694,3226127872,Metals,Ngadandari Fire Opals,15905,12,N,N
128793114,3223779840,Metals,Platinum Alloy,14800,13,N,N
128672122,128668557,Metals,Sothis Crystalline Gold,15921,30,N,N
128672432,128059402,Salvage,Crystalline Spheres,6125,12,N,N
128672431,3223105792,Salvage,Festive Gifts,12250,24,N,N
128682050,128673074,Salvage,Galactic Travel Guide,1122,10,N,N
128672316,128123640,Slavery,Master Chefs,18000,13,Y,Y
128667080,3228400128,Technology,AZ Cancri Formula 42,7219,54,N,N
129002574,128986325,Technology,Classified Experimental Equipment,5000,80,N,Y
128667075,3224133120,Technology,Xihe Biomorphic Companions,4666,40,N,N
128667674,3228346112,Textiles,Banki Amphibious Leather,625,18,N,N
128667061,3223537152,Textiles,Belalans Ray Leather,1071,17,N,N
128667710,3223418880,Textiles,Chameleon Cloth,1664,7,N,N
128667062,3227751936,Textiles,Damna Carapaces,315,15,N,N
128667702,128078840,Textiles,Jotun Mookah,1252,36,N,N
128667063,3222875648,Textiles,Rapa Bao Snake Skins,550,11,N,N
128667695,3227726848,Textiles,Tiegfries Synth Silk,823,30,N,N
128667064,3227289856,Textiles,Vanayequi Ceratomorpha Fur,828,15,N,N
128667032,3229638400,Weapons,Borasetani Pathogenetics,8200,12,Y,Y
128667072,3226857216,Weapons,Gilya Signature Weapons,7290,12,Y,N
128667033,3223177472,Weapons,HIP 118311 Swarm,6550,11,Y,Y
